country_code,date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,population
US,2022-04-14,0,14270,0,111,59372
US,2022-04-14,0,3894,0,55,20564
US,2022-04-14,0,598,0,10,2324
US,2022-04-14,0,828,0,9,3150
US,2022-04-14,0,685,0,9,2608
US,2022-04-14,0,2329,0,14,9050
US,2022-04-14,2,9447,0,102,36160
US,2022-04-14,0,1110,0,8,5034
US,2022-04-14,0,97,0,1,722
US,2022-04-14,0,134,0,11,3976
US,2022-04-14,71,14076,0,190,62163
US,2022-04-14,122,144855,0,2088,475671
US,2022-04-14,68,19343,0,84,102664
US,2022-04-14,356,253855,0,2706,969689
US,2022-04-14,12,17867,5,247,60075
US,2022-04-14,3,7458,0,120,28088
US,2022-04-14,116,39499,1,386,140001
US,2022-04-14,36,12482,0,108,50020
US,2022-04-14,34,57524,5,529,375264
US,2022-04-14,33,69047,2,710,340531
US,2022-04-14,8,17771,1,218,105238
US,2022-04-14,3,15270,0,341,65991
US,2022-04-14,95,92175,1,1145,518901
US,2022-04-14,103,110405,0,1868,563858
US,2022-04-14,9,34456,0,674,142580
US,2022-04-14,0,43056,0,376,186497
US,2022-04-14,0,96403,0,1153,332655
US,2022-04-14,0,267,0,7,1372
US,2022-04-14,0,201,0,3,1244
US,2022-04-14,0,2973,0,53,10277
US,2022-04-14,0,33129,0,414,105421
US,2022-04-14,0,12996,0,176,40717
US,2022-04-14,10,93483,0,982,361853
US,2022-04-14,9,7331,0,132,39932
US,2022-04-14,0,310,0,9,1375
US,2022-04-14,85,569947,1,6736,2620154
US,2022-04-14,2,1149,0,26,3340
US,2022-04-14,0,3364,0,70,11270
US,2022-04-14,1,5377,0,109,26483
US,2022-04-14,2,12026,0,250,57117
US,2022-04-14,0,896,0,39,5699
US,2022-04-14,15,60164,0,497,214726
US,2022-04-14,0,1508,0,28,8828
US,2022-04-14,2,4589,0,92,19827
US,2022-04-14,3,10217,0,197,50183
US,2022-04-14,49,40552,0,495,165318
US,2022-04-14,12,93057,0,1491,361235
US,2022-04-14,9,34426,0,448,133501
US,2022-04-14,0,2294,0,66,12164
US,2022-04-14,1,1837,0,45,9287
US,2022-04-14,37,8632,0,128,32619
US,2022-04-14,4,9120,0,212,41837
US,2022-04-14,2,2888,1,25,11293
